GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP
22200001,1610612738,BOS,1610612755,PHI,2022-23,24,29,53,24.0,24.0,29.0,29.0,82.0,80.0
22200001,1610612755,PHI,1610612738,BOS,2022-23,29,24,53,29.0,29.0,24.0,24.0,80.0,82.0
22200002,1610612747,LAL,1610612744,GSW,2022-23,22,25,47,22.0,22.0,25.0,25.0,94.0,99.0
22200002,1610612744,GSW,1610612747,LAL,2022-23,25,22,47,25.0,25.0,22.0,22.0,99.0,94.0
22200003,1610612753,ORL,1610612765,DET,2022-23,28,17,45,28.0,28.0,17.0,17.0,86.0,94.0
22200003,1610612765,DET,1610612753,ORL,2022-23,17,28,45,17.0,17.0,28.0,28.0,94.0,86.0
22200004,1610612764,WAS,1610612754,IND,2022-23,36,25,61,36.0,36.0,25.0,25.0,92.0,97.0
22200004,1610612754,IND,1610612764,WAS,2022-23,25,36,61,25.0,25.0,36.0,36.0,97.0,92.0
22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,46,20.0,20.0,26.0,26.0,98.0,90.0
22200005,1610612737,ATL,1610612745,HOU,2022-23,26,20,46,26.0,26.0,20.0,20.0,90.0,98.0
22200006,1610612751,BKN,1610612740,NOP,2022-23,14,32,46,14.0,14.0,32.0,32.0,89.0,102.0
22200006,1610612740,NOP,1610612751,BKN,2022-23,32,14,46,32.0,32.0,14.0,14.0,102.0,89.0
22200007,1610612741,CHI,1610612748,MIA,2022-23,28,33,61,28.0,28.0,33.0,33.0,93.0,80.0
22200007,1610612748,MIA,1610612741,CHI,2022-23,33,28,61,33.0,33.0,28.0,28.0,80.0,93.0
22200008,1610612739,CLE,1610612761,TOR,2022-23,22,28,50,22.0,22.0,28.0,28.0,77.0,86.0
22200008,1610612761,TOR,1610612739,CLE,2022-23,28,22,50,28.0,28.0,22.0,22.0,86.0,77.0
22200009,1610612752,NYK,1610612763,MEM,2022-23,23,25,48,23.0,23.0,25.0,25.0,109.0,108.0
22200009,1610612763,MEM,1610612752,NYK,2022-23,25,23,48,25.0,25.0,23.0,23.0,108.0,109.0
22200010,1610612760,OKC,1610612750,MIN,2022-23,22,35,57,22.0,22.0,35.0,35.0,99.0,94.0
22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,57,35.0,35.0,22.0,22.0,94.0,99.0
22200011,1610612766,CHA,1610612759,SAS,2022-23,38,22,60,38.0,38.0,22.0,22.0,94.0,99.0
22200011,1610612759,SAS,1610612766,CHA,2022-23,22,38,60,22.0,22.0,38.0,38.0,99.0,94.0
22200012,1610612762,UTA,1610612743,DEN,2022-23,37,30,67,37.0,37.0,30.0,30.0,83.0,83.0
22200012,1610612743,DEN,1610612762,UTA,2022-23,30,37,67,30.0,30.0,37.0,37.0,83.0,83.0
22200013,1610612742,DAL,1610612756,PHX,2022-23,32,24,56,32.0,32.0,24.0,24.0,75.0,85.0
22200013,1610612756,PHX,1610612742,DAL,2022-23,24,32,56,24.0,24.0,32.0,32.0,85.0,75.0
22200014,1610612757,POR,1610612758,SAC,2022-23,32,23,55,32.0,32.0,23.0,23.0,88.0,85.0
22200014,1610612758,SAC,1610612757,POR,2022-23,23,32,55,23.0,23.0,32.0,32.0,85.0,88.0
22200015,1610612755,PHI,1610612749,MIL,2022-23,24,30,54,29.0,29.0,30.0,30.0,80.0,84.0
22200015,1610612749,MIL,1610612755,PHI,2022-23,30,24,54,30.0,30.0,29.0,29.0,84.0,80.0
22200016,1610612747,LAL,1610612746,LAC,2022-23,23,35,58,22.0,22.0,35.0,35.0,94.0,80.0
22200016,1610612746,LAC,1610612747,LAL,2022-23,35,23,58,35.0,35.0,22.0,22.0,80.0,94.0
22200017,1610612740,NOP,1610612766,CHA,2022-23,35,24,59,32.0,32.0,38.0,38.0,102.0,94.0
22200017,1610612766,CHA,1610612740,NOP,2022-23,24,35,59,38.0,38.0,32.0,32.0,94.0,102.0
22200018,1610612759,SAS,1610612754,IND,2022-23,36,26,62,22.0,22.0,25.0,25.0,99.0,97.0
22200018,1610612754,IND,1610612759,SAS,2022-23,26,36,62,25.0,25.0,22.0,22.0,97.0,99.0
22200019,1610612764,WAS,1610612741,CHI,2022-23,26,30,56,36.0,36.0,28.0,28.0,92.0,93.0
22200019,1610612741,CHI,1610612764,WAS,2022-23,30,26,56,28.0,28.0,36.0,36.0,93.0,92.0
22200020,1610612737,ATL,1610612753,ORL,2022-23,19,27,46,26.0,26.0,28.0,28.0,90.0,86.0
22200020,1610612753,ORL,1610612737,ATL,2022-23,27,19,46,28.0,28.0,26.0,26.0,86.0,90.0
22200021,1610612761,TOR,1610612751,BKN,2022-23,24,28,52,28.0,28.0,14.0,14.0,86.0,89.0
22200021,1610612751,BKN,1610612761,TOR,2022-23,28,24,52,14.0,14.0,28.0,28.0,89.0,86.0
22200022,1610612748,MIA,1610612738,BOS,2022-23,22,30,52,33.0,33.0,24.0,24.0,80.0,82.0
22200022,1610612738,BOS,1610612748,MIA,2022-23,30,22,52,24.0,24.0,33.0,33.0,82.0,80.0
22200023,1610612752,NYK,1610612765,DET,2022-23,30,20,50,23.0,23.0,17.0,17.0,109.0,94.0
22200023,1610612765,DET,1610612752,NYK,2022-23,20,30,50,17.0,17.0,23.0,23.0,94.0,109.0
22200024,1610612763,MEM,1610612745,HOU,2022-23,26,32,58,25.0,25.0,20.0,20.0,108.0,98.0
22200024,1610612745,HOU,1610612763,MEM,2022-23,32,26,58,20.0,20.0,25.0,25.0,98.0,108.0
22200025,1610612762,UTA,1610612750,MIN,2022-23,26,41,67,37.0,37.0,35.0,35.0,83.0,94.0
22200025,1610612750,MIN,1610612762,UTA,2022-23,41,26,67,35.0,35.0,37.0,37.0,94.0,83.0
22200026,1610612743,DEN,1610612744,GSW,2022-23,40,34,74,30.0,30.0,25.0,25.0,83.0,99.0
22200026,1610612744,GSW,1610612743,DEN,2022-23,34,40,74,25.0,25.0,30.0,30.0,99.0,83.0
22200027,1610612757,POR,1610612756,PHX,2022-23,25,28,53,32.0,32.0,24.0,24.0,88.0,85.0
22200027,1610612756,PHX,1610612757,POR,2022-23,28,25,53,24.0,24.0,32.0,32.0,85.0,88.0
22200028,1610612759,SAS,1610612755,PHI,2022-23,19,25,44,29.0,29.0,26.5,26.5,90.0,81.5
22200028,1610612755,PHI,1610612759,SAS,2022-23,25,19,44,26.5,26.5,29.0,29.0,81.5,90.0
22200029,1610612754,IND,1610612765,DET,2022-23,25,35,60,25.5,25.5,18.5,18.5,100.5,92.0
22200029,1610612765,DET,1610612754,IND,2022-23,35,25,60,18.5,18.5,25.5,25.5,92.0,100.5
22200030,1610612738,BOS,1610612753,ORL,2022-23,36,33,69,27.0,27.0,27.5,27.5,80.5,83.0
22200030,1610612753,ORL,1610612738,BOS,2022-23,33,36,69,27.5,27.5,27.0,27.0,83.0,80.5
22200031,1610612748,MIA,1610612761,TOR,2022-23,38,33,71,27.5,27.5,26.0,26.0,86.0,85.0
22200031,1610612761,TOR,1610612748,MIA,2022-23,33,38,71,26.0,26.0,27.5,27.5,85.0,86.0
22200032,1610612739,CLE,1610612741,CHI,2022-23,34,25,59,22.0,22.0,29.0,29.0,77.0,86.0
22200032,1610612741,CHI,1610612739,CLE,2022-23,25,34,59,29.0,29.0,22.0,22.0,86.0,77.0
22200033,1610612749,MIL,1610612745,HOU,2022-23,41,23,64,30.0,30.0,26.0,26.0,84.0,95.5
22200033,1610612745,HOU,1610612749,MIL,2022-23,23,41,64,26.0,26.0,30.0,30.0,95.5,84.0
22200034,1610612742,DAL,1610612763,MEM,2022-23,39,17,56,32.0,32.0,25.5,25.5,75.0,103.0
22200034,1610612763,MEM,1610612742,DAL,2022-23,17,39,56,25.5,25.5,32.0,32.0,103.0,75.0
22200035,1610612760,OKC,1610612743,DEN,2022-23,29,28,57,22.0,22.0,35.0,35.0,99.0,84.5
22200035,1610612743,DEN,1610612760,OKC,2022-23,28,29,57,35.0,35.0,22.0,22.0,84.5,99.0
22200036,1610612746,LAC,1610612758,SAC,2022-23,29,26,55,35.0,35.0,23.0,23.0,80.0,85.0
22200036,1610612758,SAC,1610612746,LAC,2022-23,26,29,55,23.0,23.0,35.0,35.0,85.0,80.0
22200037,1610612757,POR,1610612747,LAL,2022-23,32,24,56,28.5,28.5,22.5,22.5,85.0,94.0
22200037,1610612747,LAL,1610612757,POR,2022-23,24,32,56,22.5,22.5,28.5,28.5,94.0,85.0
22200038,1610612766,CHA,1610612737,ATL,2022-23,22,30,52,31.0,31.0,22.5,22.5,95.5,89.5
22200038,1610612737,ATL,1610612766,CHA,2022-23,30,22,52,22.5,22.5,31.0,31.0,89.5,95.5
22200039,1610612764,WAS,1610612739,CLE,2022-23,31,30,61,31.0,31.0,28.0,28.0,86.0,81.0
22200039,1610612739,CLE,1610612764,WAS,2022-23,30,31,61,28.0,28.0,31.0,31.0,81.0,86.0
22200040,1610612762,UTA,1610612740,NOP,2022-23,26,24,50,31.5,31.5,33.5,33.5,97.0,95.5
22200040,1610612740,NOP,1610612762,UTA,2022-23,24,26,50,33.5,33.5,31.5,31.5,95.5,97.0
22200041,1610612760,OKC,1610612750,MIN,2022-23,18,31,49,25.5,25.5,38.0,38.0,96.5,100.5
22200041,1610612750,MIN,1610612760,OKC,2022-23,31,18,49,38.0,38.0,25.5,25.5,100.5,96.5
22200042,1610612758,SAC,1610612744,GSW,2022-23,36,39,75,24.5,24.5,29.5,29.5,85.0,93.5
22200042,1610612744,GSW,1610612758,SAC,2022-23,39,36,75,29.5,29.5,24.5,24.5,93.5,85.0
